fixedPlayerID,fixedBackgroundName,fixedBackgroundSeason,fixedBackgroundList,scProjectionMiddle,scKeeper,scPricePrice,scPricePricedat,scPriceMMrating,scDraftRank,scKeeperRank,,scBackgroundIcon1,scBackgroundIcon2,scBackgroundIcon3,scComment,scShort,scPreseasonGame1,scPreseasonGame2,scPreseasonGT,scPositionRankonprice,scPositionRankon2022average,scPositionRankonPPM,scPositionRankonlast5,scPositionRankoncareerhigh,scPrice150k,scPrice85,scPricecareerhigh,scConsistencyHigh,scConsistencyLow,scConsistency120,scConsistency100,scConsistency90,scConsistency70,scConsistency50tog,scConsistency CBAHigh,scConsistency CBALow,scConsistency CBA120,scConsistency CBA100,scConsistency CBA90,scConsistency CBA70,scConsistency CBA50tog,scConsistency KIHigh,scConsistency KILow,scConsistency KI120,scConsistency KI100,scConsistency KI90,scConsistency KI70,scConsistency KI50tog,scSplitsRegular,scSplitsVregular,scSplitsH1,scSplitsVH1,scSplitsH2,scSplitsVH2,scSplitsLast5,scSplitsVLast5,scSplitsFinals,scSplitsVfinals,scSplitsExlowest,scSplitsVexlowest,scBestAverage,sc2022Average,sc2021Average,sc2020Average,sc2019Average,sc2018Average,sc2017Average,scBestRank,sc2022Rank,sc2021Rank,sc2020Rank,sc2019Rank,sc2018Rank,sc2017Rank,scBest100GT,sc2022100GT,sc2021100GT,sc2020100GT,sc2019100GT,sc2018100GT,sc2017100GT,scBestTrend,sc2022Trend,sc2021Trend,sc2020Trend,sc2019Trend,sc2018Trend,sc2017Trend,scStatDisposals,scStatEfficiency,scStatContested,scStatClangers,scStatTackles,scStatValue,scStat22Disposals,scStat22Efficiency,scStat22Contested,scStat22Clangers,scStat22Tackles,scStat22Value,scStatLabel
CD_I1012805,Tanner Bruhn,3,Snr,72,90,311400,57,Low,M125/F69,M122/F45,,12,14,0,"Was drafted as one of the premier midfielders of the 2020 draft, however has had to settle with a forward role for the time being given the midfield depth at the Giants. He now finds himself at Geelong, who despite being the reigning premiers, they’re not super deep in the mids. He should get his chance to play more midfield which would be a boost to his scoring. He did get 37% CBAs in the first half of last year and only managed 67, so I don't think we're going to see high scoring from him. Keep an eye on him given his talent, forward status and more mid time, but I doubt he'll make an impact in SuperCoach this season.","Should get more midfield opportunities at the Cats but going by his scoring to date, I doubt he'll boost his score enough",none,none,none,118,119,92,147,119,84,-6,0,127,24, 1 / 16, 1 / 16, 15 / 16, 12 / 16, 0 / 16,50,11,50,50,23.33333333,19.5,none,0,0,0,0,0,0,none,56.5625,0,66.85714286,-10,48.55555556,8,43.33333333,14,none,none,58.73333333,-2,56.5625,56.5625,44.53846154,none,none,none,none,503,414,473,none,none,none,none,80.44444444,75.64444444,62.70491803,none,none,none,none,0,12.02403846,none,none,none,none,none,12.625,74.12690455,45.27359793,2.5625,3.6875,0.4375,20.35798074,70.28924512,43.39027832,3.038980488,4.25614499,1.318991781,Goals
CD_I996580,Ethan Hughes,9,Snr,55,55,283700,52,Fair,D160/M185,D211/M221,,14,10,0, ,A role player in defence for Freo who has only managed 13 games in 2 years,none,none,none,149,101,80,none,72,79,-11,-19,80,37, 0 / 5, 0 / 5, 5 / 5, 3 / 5, 0 / 5,0,0,none,none,0.8,1.333333333,none,0,0,none,none,0,0,none,64.4,-12,70,-18,60.66666667,-9,none,none,none,none,71.25,-19,71.05882353,64.4,62.75,71.05882353,67.04761905,53.8,61.94444444,352,307,313,215,232,290,199,84.3575419,78,75.11737089,76.37918994,71.45785744,67.81914894,73.659118,-6.658823529,1.65,-8.308823529,4.011204482,13.24761905,-8.144444444,-6.655555556,18.6,86.08585859,25.64605329,2.6,1,3.2,25.11622807,80.7235179,28.70226389,3.141985646,2.327352472,7.156419458,Intercepts
CD_I1002228,Lachie Fogarty,6,Snr,55,70,167400,30,Low,M186/F162,M199/F150,,14,26,0,"Fogarty has been on the radar since he was drafted after his elite junior numbers, highlighted by a 124 AFL Fantasy average in the NAB League. However, managed just 3 games last year for the Blues after struggling for opportunities at the Cats earlier in his career. It's likely he'll struggle for opportunities again, but if he is named, he's worth a look based on his price and junior scores.","Just 3 games last season and might find it tough again for opportunities, but if he does, he's worth a look based on price and junior scores",none,none,none,208,200,188,none,66,58,-12,-39,61,0, 0 / 3, 0 / 3, 3 / 3, 3 / 3, 1 / 3,0,0,none,none,0,0,0,0,0,none,none,0,0,0,38,-8,57,-27,0,30,none,none,none,none,57,-27,68.625,38,68.625,66,50.5,59.7,none,383,569,253,257,363,255,none,91.81818182,59.11949686,88.62324815,97.5950783,89.09090909,74.54780362,none,-30.625,-30.625,2.625,15.5,-9.2,none,none,8,55.23809524,22.85714286,1,1.666666667,0,20.35798074,70.28924512,43.39027832,3.038980488,4.25614499,1.318991781,Goals
CD_I1013973,Matthew Owies,5,Snr,56,58,313200,57,Full,F156,F231,,10,0,0, ,Small forward played 17 games last season but scoring is limited,none,none,none,114,117,127,107,117,84,-2,0,86,35, 0 / 17, 0 / 17, 17 / 17, 14 / 17, 0 / 17,0,0,none,none,0,0,none,0,0,none,none,0,0,none,56.88235294,0,57.90909091,-1,55,2,56.5,1,none,none,58.25,-1,56.88235294,56.88235294,54.53846154,15,zero,none,none,500,410,400,450,none,none,none,74.67181467,69.65250965,70.44025157,25.73529412,zero,none,none,0,2.343891403,39.53846154,none,none,none,none,9.529411765,70.88713574,45.87051837,1.470588235,3.882352941,0.823529412,20.35798074,70.28924512,43.39027832,3.038980488,4.25614499,1.318991781,Goals
CD_I1011985,Hugo Ralphsmith,4,Snr,58,70,333300,61,Overs,D144,D141,,14,0,0,"Ralphsmith played 13 games last season in a half back role and looked good. However, it only yielded an average of 53, and with the likelihood of Short moving back to defence, Ralphsmith might be on the fringe in 2023.","The likelihood of Short moving back to defence, Ralphsmith might be on the fringe in 2023",none,none,none,113,123,105,166,123,88,1,0,101,36, 0 / 13, 1 / 13, 12 / 13, 9 / 13, 0 / 13,0,0,none,0,0,0,none,0,6,none,0,11,10.33333333,none,60.53846154,0,66.5,-6,55.42857143,6,39,22,none,none,62.58333333,-2,60.53846154,60.53846154,42.2,zero,none,none,none,466,361,487,none,none,none,none,80.96707819,70.88477366,49.72527473,zero,none,none,none,0,18.33846154,none,none,none,none,none,14.46153846,76.72793918,30.74563033,2.461538462,1.307692308,3.307692308,25.11622807,80.7235179,28.70226389,3.141985646,2.327352472,7.156419458,Intercepts
CD_I1008436,Kieren Briggs,5,Snr,53,60,254400,46,Fair,R43,R50,,14,0,0, ,Still behind Preuss and Flynn for the starting ruck spot,none,none,none,31,30,32,24,23,74,-12,-26,73,43, 0 / 4, 0 / 4, 4 / 4, 3 / 4, 0 / 4,77,55,none,none,51,42.33333333,none,0,0,none,none,0,0,none,57.75,-12,none,none,57.75,-12,57.75,-12,none,none,62.66666667,-17,71.6,57.75,71.6,zero,zero,none,none,345,397,227,none,none,none,none,109.1463415,73.7037037,98.47560976,zero,zero,none,none,-13.85,-13.85,none,none,none,none,none,9.25,65.48076923,78.23565324,2.75,1.75,3.25,16.13636364,58.46452845,63.64289849,3.5,2.340909091,11.04545455,HO to Adv
CD_I294013,Sean Lemmens,10,Snr,55,58,320700,58,Full,D161,D207,,10,0,0, ,Found a role in defence but not a scoring one,none,none,none,127,137,132,108,137,86,4,0,94,5, 0 / 20, 0 / 20, 19 / 20, 13 / 20, 0 / 20,0,0,none,none,0,0,none,0,0,none,none,5.684210526,6.384615385,none,58.25,0,61.5,-4,55,3,61.2,-3,none,none,61.05263158,-3,58.25,58.25,52.04761905,47.16666667,48.25,40.8,51.6,488,389,424,401,375,327,251,82.26744186,63.893912,61.01792944,88.08139535,77.18978102,59.5390525,64.94464945,0,6.202380952,4.880952381,-1.083333333,7.45,-10.8,3.6,12.15,73.2053094,41.21105494,2.75,2.5,5.2,25.11622807,80.7235179,28.70226389,3.141985646,2.327352472,7.156419458,Intercepts
CD_I1000061,Callum Coleman-Jones,6,Snr,64,80,312700,57,Fair,F98/R33,F86/R33,,14,11,0,"There's no doubting Coleman-Jones has talent, however he's yet to really crack it at AFL level. Not even a move to the Kangaroos provided more job security, with just 10 games last season at an average of 53. He continued to dominate at lower level, averaging 104 at VFL level after 115 the year prior and 116 in his draft year. Those scores came from playing predominantly in the ruck and at AFL level, he plays as a key forward. If he's ever handed to keys to be the number 1 ruck then he could be worth a look, but that's an unlikely scenario.",Yet to cement his spot at AFL level despite but VFL scores,none,none,none,117,118,104,121,83,84,-5,-7,79,26, 0 / 10, 0 / 10, 10 / 10, 7 / 10, 0 / 10,42,0,none,none,32,29.42857143,none,0,0,none,none,0,0,none,56.8,0,57.5,-1,56.33333333,1,52.5,5,none,none,60.22222222,-3,64.28571429,56.8,64.28571429,zero,60,zero,none,431,412,295,none,296,none,none,95.23809524,73.77963738,80.91068301,zero,104.7619048,zero,none,-7.485714286,-7.485714286,4.285714286,none,none,none,none,11.1,60.93978244,52.12943919,3.3,1.7,0.5,20.35798074,70.28924512,43.39027832,3.038980488,4.25614499,1.318991781,Goals
CD_I992374,Dan Butler,9,Snr,56,58,299000,54,Fair,F157,F232,,10,0,0, ,"78 in 2020 the outlier, he's been a mid-50s guy his whole career",none,none,none,132,132,151,115,39,82,-2,-24,111,30, 0 / 19, 1 / 19, 18 / 19, 16 / 19, 0 / 19,0,0,none,0,0,0,none,0,0,none,0,0,0,none,54.31578947,0,53.5,1,54.90909091,-1,54.6,-1,none,none,57.17647059,-3,77.6,54.31578947,52,77.6,48,58.4,60.5,293,446,425,170,377,265,208,89.03381643,66.1589404,62.91079812,85.4468599,59.86226382,71.57232704,68.43403206,-23.28421053,2.315789474,-25.6,29.6,-10.4,-2.1,none,9.842105263,60.6251351,42.99289891,2.473684211,4.052631579,1,20.35798074,70.28924512,43.39027832,3.038980488,4.25614499,1.318991781,Goals
CD_I997823,Josh Rotham,7,Snr,55,60,272300,49,Low,D162,D186,,10,0,0, ,A reliable defender but not a scorer,none,none,none,156,174,119,154,66,77,-7,-26,80,0, 0 / 13, 0 / 13, 13 / 13, 10 / 13, 1 / 13,0,0,none,none,2.307692308,0,0,0,0,none,none,0.615384615,0.8,0,49.46153846,0,51.25,-2,46.6,2,45.66666667,3,none,none,53.58333333,-5,75.22222222,49.46153846,75.22222222,61.7,63.25,zero,zero,317,486,199,288,264,none,none,86.25360424,66.47230321,82.07604104,77.54914005,69.67213115,zero,zero,-25.76068376,-25.76068376,13.52222222,-1.55,none,none,none,10.84615385,77.33427742,15.998446,1.769230769,1.615384615,2.615384615,25.11622807,80.7235179,28.70226389,3.141985646,2.327352472,7.156419458,Intercepts
