fixedPlayerID,fixedBackgroundName,fixedBackgroundSeason,draftHeight,draftWeight,draftU19games,draftU19average,draftU19last5,draftU19finals,draftU19highest,draftU19exlowest,draftU19rankgames,draftU19rankaverage,draftU19ranklast5,draftU19rankfinals,draftU19rankhighest,draftU19rankexlowest,draftlocalU19R1,draftlocalU19R2,draftlocalU19R3,draftlocalU19R4,draftlocalU19R5,draftlocalU19R6,draftlocalU19R7,draftlocalU19R8,draftlocalU19R9,draftlocalU19R10,draftlocalU19R11,draftlocalU19R12,draftlocalU19R13,draftlocalU19R14,draftlocalU19R15,draftlocalU19R16,draftlocalU19R17,draftlocalU19R18,draftlocalU19R19,draftlocalU19R20,draftState1sR1,draftState1sR2,draftState1sR3,draftState1sR4,draftState1sR5,draftState1sR6,draftState1sR7,draftState1sR8,draftState1sR9,draftState1sR10,draftState1sR11,draftState1sR12,draftState1sR13,draftState1sR14,draftState1sR15,draftState1sR16,draftState1sR17,draftState1sR18,draftState1sR19,draftState1sR20,draftState2sR1,draftState2sR2,draftState2sR3,draftState2sR4,draftState2sR5,draftState2sR6,draftState2sR7,draftState2sR8,draftState2sR9,draftState2sR10,draftState2sR11,draftState2sR12,draftState2sR13,draftState2sR14,draftState2sR15,draftState2sR16,draftState2sR17,draftState2sR18,draftState2sR19,draftState2sR20,draftPositionJunior,draftPlayerComp,draftRound1,afPrice40,afPrice60,afPrice80,scPrice40,scPrice60,scPrice80,
CD_I1024686,Anthony Munkara,1,Jnr,186,77,2,69,0,0,82,56,45,67,58,46,55,52,82,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Medium forward,Jamie Elliott,Low,154000,331000,508000,117680,227720,337760
CD_I1020668,Joshua Draper,1,Jnr,197,92,0,0,0,0,0,0,71,71,58,46,71,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Utility,Noah Balta,Low,154000,331000,508000,117680,227720,337760
CD_I1017970,Conrad Williams,1,Jnr,185,63,6,66,94,0,94,41,53,49,18,46,50,64,65,61,0,0,74,0,0,0,0,0,0,41,0,0,61,0,0,0,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Wing,Ed Langdon,Low,154000,331000,508000,117680,227720,337760
CD_I1023542,Ted Clohesy,1,Jnr,184,77,10,96,95,67,139,100,12,28,16,26,13,8,139,82,0,0,0,0,0,73,123,98,0,74,95,112,0,100,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Inside Mid,Tom Mitchell,Low,154000,331000,508000,117680,227720,337760
CD_I1024666,Lloyd Johnston,1,Jnr,183,80,3,73,0,0,82,77,42,63,58,46,55,31,0,0,71,66,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Running defender,Jack Sinclair,Low,154000,331000,508000,117680,227720,337760
CD_I1023743,Nicholas Madden,1,Jnr,204,112,4,81,0,0,93,84,34,59,58,46,51,26,81,70,79,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ruck,Sean Darcy,Low,154000,331000,508000,117680,227720,337760
CD_I1023464,Jason Gillbee,1,Jnr,191,77,8,84,80,87,98,87,29,37,27,14,46,22,0,0,98,98,84,0,0,0,59,0,0,0,0,0,73,86,95,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Utility,Nik Cox,Low,154000,331000,508000,117680,227720,337760
CD_I1018106,Joshua Bennetts,1,Jnr,178,75,0,0,0,0,0,0,71,71,58,46,71,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Mid forward,Zac Bailey,Low,154000,331000,508000,117680,227720,337760
CD_I1030866,Kyah Farris-White,1,Jnr,206,91,0,0,0,0,0,0,71,71,58,46,71,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ruck,Lloyd Meek,Low,154000,331000,508000,117680,227720,337760
CD_I1015294,Nathan Barkla,1,Jnr,187,77,12,75,71,0,102,57,40,15,36,46,43,51,68,57,69,87,78,67,94,102,65,0,0,80,59,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,31,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,General Midfielder,Jack Sinclair,Low,154000,331000,508000,117680,227720,337760
CD_I1017077,Angus McLennan,1,Jnr,188,82,10,37,33,35,54,40,70,28,55,42,69,65,0,0,0,0,0,0,54,34,0,51,31,0,0,0,14,51,33,25,42,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,42,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Key defender,Joel Smith,Low,154000,331000,508000,117680,227720,337760
CD_I1017757,William Edwards,1,Jnr,197,100,0,0,0,0,0,0,71,71,58,46,71,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Key defender,Harrison Petty,Low,154000,331000,508000,117680,227720,337760
CD_I1023142,Tyrell Dewar,1,Jnr,184,70,12,51,49,0,72,23,63,15,50,46,65,69,64,57,56,72,23,38,60,0,0,0,0,50,0,0,0,0,66,69,27,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Running defender,Daniel Rioli,Low,154000,331000,508000,117680,227720,337760
CD_I1020595,Jordyn Baker,1,Jnr,188,70,13,80,68,0,110,42,36,8,37,46,34,63,82,77,55,99,106,0,0,0,90,96,0,0,0,110,59,0,42,67,76,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Wing,Karl Amon,Low,154000,331000,508000,117680,227720,337760
CD_I1020595,Jordyn Baker,1,188,70,13,80,68,0,110,42,36,8,37,46,34,63,82,77,55,99,106,0,0,0,90,96,0,0,0,110,59,0,42,67,76,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Wing,Karl Amon,Low,154000,331000,508000,117680,227720,337760,
